Old_Code,New_Code,Title
CHEM 1103,CHEM 14103,University Chemistry I
CHEM 1123,CHEM 14203,University Chemistry II
CHEM 1123H,CHEM 142H3,Honors Chemistry II
CHEM 1073,CHEM 12103,Fundamentals of Chemistry
CHEM 1073 Online,CHEM 12103 Online,Fundamentals of Chemistry Online
CHEM 3603,CHEM 36053,Organic Chemistry I
BIOL 1543,BIOL 10103,Principles of Biology
CHEM 2613,CHEM 26103,Organic Physiological Chemistry
CHEM 3613,CHEM 36203,Organic Chemistry II
NURS 3314,NURS 33174,Pathophysiology
UNIV 1001,UNIV 10051,University Perspectives
ACCT 2013,ACCT 20103,Accounting Principles
ACCT 2013 Online,ACCT 20103 Online,Accounting Principles Online
ACCT 2023,ACCT 20203,Accounting Principles II
ACCT 2023 Online,ACCT 20203 Online,Accounting Principles II Online
ECON 2013,ECON 21003,Principles of Macroeconomics
ECON 2013 Online,ECON 21003 Online,Principles of Macroeconomics Online
ECON 2013H,ECON 2100H3,Honors Principles of Macroeconomics
ECON 2023,ECON 22003,Principles of Microeconomics
ECON 2023 Online,ECON 22003 Online,Principles of Microeconomics Online
ECON 2023H,ECON 220H3,Honors Principles of Microeconomics
ECON 2143,ECON 21403,Basic Economics: Theory and Practice
ECON 2143 Online,ECON 21403 Online,Basic Economics: Theory and Practice Online
ECON 2143H,ECON 214H3,Honors Basic Economics: Theory and Practice
EXSC 3353,EXSC 33503,Mechanics of Human Movement
CHEG 2113,CHEG 21103,Introduction to Chemical Engineering I
CHEG 2133,CHEG 21303,Fluid Mechanics
MATH 2043,MATH 22003,Survey of Calculus
WCOB 1033,,Data Analysis
